Mesh Name;Inertia Tensor;Center of Mass;Mass
wrist_ball_dexter.obj;[[3.93291316e-07,1.44590198e-23,6.45308082e-14],[1.44590198e-23,2.57758066e-07,-4.01938635e-24],[6.45308082e-14,-4.01938635e-24,2.57756957e-07]];[-1.96400785e-02,-1.03437733e-18,2.20269741e-08];1
foot_sinister.obj;[[1.42180074e-05,4.87199272e-12,-1.49936594e-12],[4.87199272e-12,3.86123636e-06,-1.87966945e-07],[-1.49936594e-12,-1.87966945e-07,1.64091501e-05]];[-1.85955846e-08,-4.23979739e-02,-6.36363986e-02];1
thigh_dexter.obj;[[3.18832262e-05,3.21252453e-07,1.23947080e-06],[3.21252453e-07,2.76480145e-05,-5.69440192e-06],[1.23947080e-06,-5.69440192e-06,2.48045855e-05]];[-0.00745719,-0.03795964,-0.13478094];1
calf_sinister.obj;[[5.73741498e-05,-2.23875926e-11,-2.03377793e-11],[-2.23875926e-11,5.25848260e-05,9.05644896e-06],[-2.03377793e-11,9.05644896e-06,3.10029296e-05]];[,7.09695403e-08,1.15040362e-02,-1.52933748e-01];1
arm_upper_sinister.obj;[[2.33307947e-06,9.61355327e-23,6.69149561e-23],[9.61355327e-23,2.71905748e-06,-2.23338765e-23],[6.69149561e-23,-2.23338765e-23,2.50122095e-06]];[,5.54278196e-02,-1.03384906e-18,1.53162823e-18];1
ankle_link_dexter.obj;[[1.69882972e-06,2.81887643e-23,1.40620704e-23],[2.81887643e-23,1.69882529e-06,-3.87740912e-25],[1.40620704e-23,-3.87740912e-25,2.35682873e-06]];[,8.12296194e-19,-1.72735848e-18,1.72545541e-19];1
hip_motor_link_sinister.obj;[[2.87783964e-06,-4.03966028e-18,3.26048676e-12],[-4.03966028e-18,2.31182990e-06,4.52423297e-12],[3.26048676e-12,4.52423297e-12,3.30921460e-06]];[,8.18112179e-08,-3.59434245e-08,-1.81119284e-18];1
shoulder_link_dexter.obj;[[8.97699860e-06,-5.50831472e-11,5.28057508e-08],[-5.50831472e-11,9.36444764e-06,-1.70906237e-10],[5.28057508e-08,-1.70906237e-10,1.13433115e-05]];[-1.73072374e-02,8.19645924e-07,-9.40601582e-04];1
hip_bracket_sinister.obj;[[5.88698485e-06,2.15943749e-10,5.61868891e-07],[2.15943749e-10,4.03026999e-06,5.05925358e-10],[5.61868891e-07,5.05925358e-10,4.92431593e-06]];[,4.41853478e-02,2.29272086e-06,-1.80508763e-02];1
neck.obj;[[6.10035770e-08,-4.87773951e-15,7.82291408e-16],[-4.87773951e-15,6.10035843e-08,3.85604688e-16],[7.82291408e-16,3.85604688e-16,1.07334814e-07]];[-2.04373303e-09,-1.02141591e-09,1.51050602e-02];1
realsense.obj;[[2.57383108e-09,2.38709849e-23,-2.03483329e-23],[2.38709849e-23,2.70705869e-08,-2.32934060e-21],[-2.03483329e-23,-2.32934060e-21,2.67601348e-08]];[,8.02586533e-19,-8.95000000e-02,2.02750000e-01];1
hand_sinister.obj;[[7.47957206e-07,-4.95856551e-08,8.68406372e-08],[-4.95856551e-08,1.35524802e-06,-2.00905246e-08],[8.68406372e-08,-2.00905246e-08,1.81046110e-06]];[,0.06292179,-0.00805413,0.00738139];1
neck_connection.obj;[[5.53561049e-07,1.80622642e-24,-1.22648384e-23],[1.80622642e-24,1.26475226e-07,-2.49197611e-24],[-1.22648384e-23,-2.49197611e-24,6.10131889e-07]];[-2.46464901e-18,6.94114573e-19,1.65522880e-02];1
hip_bracket_dexter.obj;[[5.79800890e-06,3.03514081e-11,-6.04022308e-07],[3.03514081e-11,4.24066320e-06,-1.91982782e-10],[-6.04022308e-07,-1.91982782e-10,4.44080354e-06]];[-4.45851622e-02,2.50272062e-06,-2.55789339e-02];1
wrist_ball_sinister.obj;[[3.93291316e-07,1.44590198e-23,-6.45308082e-14],[1.44590198e-23,2.57758066e-07,4.01938635e-24],[-6.45308082e-14,4.01938635e-24,2.57756957e-07]];[1.96400785e-02,1.03437733e-18,2.20269741e-08];1
hand_dexter.obj;[[7.47972951e-07,4.95234034e-08,-8.68417156e-08],[4.95234034e-08,1.35524538e-06,-2.00516510e-08],[-8.68417156e-08,-2.00516510e-08,1.81047883e-06]];[-0.06292189,-0.00805119,0.00738159];1
